Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Lesotho,LSO,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,61.8,,61.8
Lesotho,LSO,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,55.49,,55.49
Lesotho,LSO,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Lesotho,LSO,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,7.3,7.3
Lesotho,LSO,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,3,,,,,3
Lesotho,LSO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,32.16703189,2.992716853,,,,32.16703189
Lesotho,LSO,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,7
Lesotho,LSO,Control of Corruption: Percentile Rank,CC.PER.RNK,51.42856979,49.04761887,42.8571434,41.03773499,33.49056625,51.42856979
Lesotho,LSO,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Lesotho,LSO,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Lesotho,LSO,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,45.575624,45.744324,42.5749,49.357239,,49.357239
Lesotho,LSO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Lesotho,LSO,Time required to start a business (days),IC.REG.DURS,15,,,,,15
Liberia,LBR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,51.63,,,51.63
Liberia,LBR,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,44.2,,,44.2
Liberia,LBR,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,59.34,,,59.34
Liberia,LBR,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,42.1,,,42.1
Liberia,LBR,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,54,,,54
Liberia,LBR,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,42.85,,,42.85
Liberia,LBR,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Liberia,LBR,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,0
Liberia,LBR,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,4,,,,,4
Liberia,LBR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Liberia,LBR,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,6
Liberia,LBR,Control of Corruption: Percentile Rank,CC.PER.RNK,17.61904716,20,19.04761887,20.28301811,20.75471687,20.75471687
Liberia,LBR,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Liberia,LBR,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Liberia,LBR,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,60.469373,60.391071,59.261254,61.502448,,61.502448
Liberia,LBR,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
